"year","state","month","number","date"
2018,"MT","MAR",766,2018-03-01
2019,"MT","MAR",1188,2019-03-01
2020,"MT","MAR",1270,2020-03-01
1998,"MS","MAR",0,1998-03-01
1999,"MS","MAR",100,1999-03-01
2000,"MS","MAR",23,2000-03-01
2001,"MS","MAR",39,2001-03-01
2002,"MS","MAR",115,2002-03-01
2003,"MS","MAR",159,2003-03-01
2004,"MS","MAR",323,2004-03-01
2005,"MS","MAR",261,2005-03-01
2006,"MS","MAR",166,2006-03-01
2007,"MS","MAR",179,2007-03-01
2008,"MS","MAR",128,2008-03-01
2009,"MS","MAR",150,2009-03-01
2010,"MS","MAR",178,2010-03-01
2011,"MS","MAR",47,2011-03-01
2012,"MS","MAR",192,2012-03-01
2013,"MS","MAR",160,2013-03-01
2014,"MS","MAR",72,2014-03-01
2015,"MS","MAR",119,2015-03-01
2016,"MS","MAR",101,2016-03-01
2017,"MS","MAR",164,2017-03-01
2018,"MS","MAR",163,2018-03-01
2019,"MS","MAR",159,2019-03-01
2020,"MS","MAR",575,2020-03-01
1998,"MG","MAR",0,1998-03-01
1999,"MG","MAR",13,1999-03-01
2000,"MG","MAR",24,2000-03-01
2001,"MG","MAR",13,2001-03-01
2002,"MG","MAR",62,2002-03-01
2003,"MG","MAR",123,2003-03-01
2004,"MG","MAR",125,2004-03-01
2005,"MG","MAR",157,2005-03-01
2006,"MG","MAR",103,2006-03-01
2007,"MG","MAR",263,2007-03-01
2008,"MG","MAR",113,2008-03-01
2009,"MG","MAR",132,2009-03-01
2010,"MG","MAR",121,2010-03-01
2011,"MG","MAR",82,2011-03-01
2012,"MG","MAR",181,2012-03-01
2013,"MG","MAR",136,2013-03-01
2014,"MG","MAR",62,2014-03-01
2015,"MG","MAR",62,2015-03-01
2016,"MG","MAR",91,2016-03-01
2017,"MG","MAR",99,2017-03-01
2018,"MG","MAR",107,2018-03-01
2019,"MG","MAR",127,2019-03-01
2020,"MG","MAR",82,2020-03-01
1998,"PA","MAR",0,1998-03-01
1999,"PA","MAR",7,1999-03-01
2000,"PA","MAR",181,2000-03-01
2001,"PA","MAR",0,2001-03-01
2002,"PA","MAR",14,2002-03-01
2003,"PA","MAR",28,2003-03-01
2004,"PA","MAR",29,2004-03-01
2005,"PA","MAR",32,2005-03-01
2006,"PA","MAR",18,2006-03-01
2007,"PA","MAR",17,2007-03-01
2008,"PA","MAR",11,2008-03-01
2009,"PA","MAR",11,2009-03-01
2010,"PA","MAR",141,2010-03-01
2011,"PA","MAR",16,2011-03-01
2012,"PA","MAR",16,2012-03-01
2013,"PA","MAR",20,2013-03-01
2014,"PA","MAR",17,2014-03-01
2015,"PA","MAR",31,2015-03-01
2016,"PA","MAR",53,2016-03-01
2017,"PA","MAR",18,2017-03-01
2018,"PA","MAR",51,2018-03-01
2019,"PA","MAR",46,2019-03-01
2020,"PA","MAR",63,2020-03-01
1998,"PB","MAR",0,1998-03-01
1999,"PB","MAR",1,1999-03-01
2000,"PB","MAR",5,2000-03-01
2001,"PB","MAR",0,2001-03-01
2002,"PB","MAR",3,2002-03-01
2003,"PB","MAR",1,2003-03-01
2004,"PB","MAR",3,2004-03-01
2005,"PB","MAR",16,2005-03-01
2006,"PB","MAR",8,2006-03-01
2007,"PB","MAR",2,2007-03-01
2008,"PB","MAR",6,2008-03-01
2009,"PB","MAR",4,2009-03-01
2010,"PB","MAR",18,2010-03-01
2011,"PB","MAR",11,2011-03-01
2012,"PB","MAR",11,2012-03-01
2013,"PB","MAR",5,2013-03-01
2014,"PB","MAR",16,2014-03-01
2015,"PB","MAR",6,2015-03-01
2016,"PB","MAR",3,2016-03-01
2017,"PB","MAR",4,2017-03-01
2018,"PB","MAR",3,2018-03-01
2019,"PB","MAR",4,2019-03-01
2020,"PB","MAR",3,2020-03-01
1998,"PR","MAR",0,1998-03-01
1999,"PR","MAR",40,1999-03-01
2000,"PR","MAR",51,2000-03-01
2001,"PR","MAR",12,2001-03-01
2002,"PR","MAR",18,2002-03-01
2003,"PR","MAR",139,2003-03-01
2004,"PR","MAR",169,2004-03-01
2005,"PR","MAR",140,2005-03-01
2006,"PR","MAR",92,2006-03-01
2007,"PR","MAR",127,2007-03-01
2008,"PR","MAR",69,2008-03-01
2009,"PR","MAR",122,2009-03-01
2010,"PR","MAR",39,2010-03-01
2011,"PR","MAR",40,2011-03-01
2012,"PR","MAR",88,2012-03-01
2013,"PR","MAR",36,2013-03-01
2014,"PR","MAR",40,2014-03-01
2015,"PR","MAR",43,2015-03-01
2016,"PR","MAR",63,2016-03-01
2017,"PR","MAR",45,2017-03-01
2018,"PR","MAR",21,2018-03-01
2019,"PR","MAR",45,2019-03-01
2020,"PR","MAR",147,2020-03-01
1998,"PE","MAR",0,1998-03-01
1999,"PE","MAR",27,1999-03-01
2000,"PE","MAR",14,2000-03-01
2001,"PE","MAR",0,2001-03-01
2002,"PE","MAR",24,2002-03-01
2003,"PE","MAR",13,2003-03-01
2004,"PE","MAR",12,2004-03-01
2005,"PE","MAR",46,2005-03-01
2006,"PE","MAR",25,2006-03-01
2007,"PE","MAR",6,2007-03-01
2008,"PE","MAR",34,2008-03-01
2009,"PE","MAR",24,2009-03-01
2010,"PE","MAR",69,2010-03-01
2011,"PE","MAR",50,2011-03-01
2012,"PE","MAR",68,2012-03-01
2013,"PE","MAR",39,2013-03-01
2014,"PE","MAR",32,2014-03-01
2015,"PE","MAR",27,2015-03-01
2016,"PE","MAR",3,2016-03-01
2017,"PE","MAR",9,2017-03-01
2018,"PE","MAR",8,2018-03-01
2019,"PE","MAR",15,2019-03-01
2020,"PE","MAR",14,2020-03-01
1998,"PI","MAR",0,1998-03-01
1999,"PI","MAR",4,1999-03-01
2000,"PI","MAR",14,2000-03-01
2001,"PI","MAR",2,2001-03-01
2002,"PI","MAR",63,2002-03-01
2003,"PI","MAR",14,2003-03-01
2004,"PI","MAR",41,2004-03-01
2005,"PI","MAR",8,2005-03-01
2006,"PI","MAR",16,2006-03-01
2007,"PI","MAR",43,2007-03-01
2008,"PI","MAR",5,2008-03-01
2009,"PI","MAR",24,2009-03-01
2010,"PI","MAR",36,2010-03-01
2011,"PI","MAR",24,2011-03-01
2012,"PI","MAR",74,2012-03-01
2013,"PI","MAR",15,2013-03-01
2014,"PI","MAR",78,2014-03-01
2015,"PI","MAR",31,2015-03-01
2016,"PI","MAR",33,2016-03-01
2017,"PI","MAR",28,2017-03-01
2018,"PI","MAR",43,2018-03-01
2019,"PI","MAR",46,2019-03-01
2020,"PI","MAR",28,2020-03-01
1998,"RJ","MAR",0,1998-03-01
1999,"RJ","MAR",0,1999-03-01
2000,"RJ","MAR",0,2000-03-01
2001,"RJ","MAR",0,2001-03-01
2002,"RJ","MAR",1,2002-03-01
2003,"RJ","MAR",33,2003-03-01
2004,"RJ","MAR",5,2004-03-01
2005,"RJ","MAR",15,2005-03-01
2006,"RJ","MAR",14,2006-03-01
2007,"RJ","MAR",45,2007-03-01
2008,"RJ","MAR",4,2008-03-01
2009,"RJ","MAR",6,2009-03-01
2010,"RJ","MAR",4,2010-03-01
2011,"RJ","MAR",4,2011-03-01
2012,"RJ","MAR",12,2012-03-01
2013,"RJ","MAR",3,2013-03-01
2014,"RJ","MAR",25,2014-03-01
2015,"RJ","MAR",15,2015-03-01
2016,"RJ","MAR",3,2016-03-01
2017,"RJ","MAR",8,2017-03-01
2018,"RJ","MAR",5,2018-03-01
2019,"RJ","MAR",3,2019-03-01
2020,"RJ","MAR",6,2020-03-01
1998,"RN","MAR",0,1998-03-01
1999,"RN","MAR",9,1999-03-01
2000,"RN","MAR",10,2000-03-01
2001,"RN","MAR",0,2001-03-01
2002,"RN","MAR",3,2002-03-01
2003,"RN","MAR",4,2003-03-01
2004,"RN","MAR",0,2004-03-01
2005,"RN","MAR",23,2005-03-01
2006,"RN","MAR",18,2006-03-01
2007,"RN","MAR",5,2007-03-01
2008,"RN","MAR",5,2008-03-01
2009,"RN","MAR",2,2009-03-01
2010,"RN","MAR",28,2010-03-01
2011,"RN","MAR",5,2011-03-01
2012,"RN","MAR",12,2012-03-01
2013,"RN","MAR",7,2013-03-01
2014,"RN","MAR",4,2014-03-01
2015,"RN","MAR",3,2015-03-01
2016,"RN","MAR",2,2016-03-01
2017,"RN","MAR",3,2017-03-01
2018,"RN","MAR",12,2018-03-01
2019,"RN","MAR",2,2019-03-01
2020,"RN","MAR",3,2020-03-01
1998,"RS","MAR",0,1998-03-01
1999,"RS","MAR",38,1999-03-01
2000,"RS","MAR",51,2000-03-01
2001,"RS","MAR",11,2001-03-01
2002,"RS","MAR",26,2002-03-01
2003,"RS","MAR",50,2003-03-01
2004,"RS","MAR",225,2004-03-01
2005,"RS","MAR",183,2005-03-01
2006,"RS","MAR",128,2006-03-01
2007,"RS","MAR",34,2007-03-01
2008,"RS","MAR",70,2008-03-01
2009,"RS","MAR",82,2009-03-01
2010,"RS","MAR",43,2010-03-01
2011,"RS","MAR",53,2011-03-01
2012,"RS","MAR",100,2012-03-01
2013,"RS","MAR",56,2013-03-01
2014,"RS","MAR",52,2014-03-01
2015,"RS","MAR",70,2015-03-01
2016,"RS","MAR",33,2016-03-01
2017,"RS","MAR",39,2017-03-01
2018,"RS","MAR",74,2018-03-01
2019,"RS","MAR",94,2019-03-01
2020,"RS","MAR",227,2020-03-01
1998,"RO","MAR",0,1998-03-01
1999,"RO","MAR",8,1999-03-01
2000,"RO","MAR",9,2000-03-01
2001,"RO","MAR",0,2001-03-01
2002,"RO","MAR",1,2002-03-01
2003,"RO","MAR",12,2003-03-01
2004,"RO","MAR",28,2004-03-01
2005,"RO","MAR",16,2005-03-01
2006,"RO","MAR",15,2006-03-01
2007,"RO","MAR",27,2007-03-01
2008,"RO","MAR",2,2008-03-01
2009,"RO","MAR",15,2009-03-01
2010,"RO","MAR",13,2010-03-01
2011,"RO","MAR",6,2011-03-01
2012,"RO","MAR",20,2012-03-01
2013,"RO","MAR",30,2013-03-01
2014,"RO","MAR",11,2014-03-01
2015,"RO","MAR",10,2015-03-01
2016,"RO","MAR",30,2016-03-01
2017,"RO","MAR",23,2017-03-01
2018,"RO","MAR",28,2018-03-01
2019,"RO","MAR",28,2019-03-01
2020,"RO","MAR",38,2020-03-01
1998,"RR","MAR",0,1998-03-01
1999,"RR","MAR",98,1999-03-01
2000,"RR","MAR",125,2000-03-01
2001,"RR","MAR",1107,2001-03-01
2002,"RR","MAR",819,2002-03-01
2003,"RR","MAR",1486,2003-03-01
2004,"RR","MAR",449,2004-03-01
2005,"RR","MAR",441,2005-03-01
2006,"RR","MAR",524,2006-03-01
2007,"RR","MAR",927,2007-03-01
2008,"RR","MAR",702,2008-03-01
2009,"RR","MAR",293,2009-03-01
2010,"RR","MAR",536,2010-03-01
2011,"RR","MAR",158,2011-03-01
2012,"RR","MAR",183,2012-03-01
2013,"RR","MAR",265,2013-03-01
2014,"RR","MAR",603,2014-03-01
2015,"RR","MAR",175,2015-03-01
2016,"RR","MAR",1195,2016-03-01
2017,"RR","MAR",251,2017-03-01
2018,"RR","MAR",727,2018-03-01
2019,"RR","MAR",2433,2019-03-01
2020,"RR","MAR",695,2020-03-01
1998,"SC","MAR",0,1998-03-01
1999,"SC","MAR",7,1999-03-01
2000,"SC","MAR",46,2000-03-01
2001,"SC","MAR",1,2001-03-01
2002,"SC","MAR",12,2002-03-01
2003,"SC","MAR",111,2003-03-01
2004,"SC","MAR",141,2004-03-01
2005,"SC","MAR",189,2005-03-01
2006,"SC","MAR",90,2006-03-01
2007,"SC","MAR",68,2007-03-01
2008,"SC","MAR",32,2008-03-01
2009,"SC","MAR",65,2009-03-01
2010,"SC","MAR",25,2010-03-01
2011,"SC","MAR",18,2011-03-01
2012,"SC","MAR",111,2012-03-01
2013,"SC","MAR",30,2013-03-01
2014,"SC","MAR",17,2014-03-01
2015,"SC","MAR",31,2015-03-01
2016,"SC","MAR",20,2016-03-01
2017,"SC","MAR",20,2017-03-01
2018,"SC","MAR",22,2018-03-01
2019,"SC","MAR",22,2019-03-01
2020,"SC","MAR",132,2020-03-01
1998,"SP","MAR",0,1998-03-01
1999,"SP","MAR",78,1999-03-01
2000,"SP","MAR",27,2000-03-01
2001,"SP","MAR",35,2001-03-01
2002,"SP","MAR",111,2002-03-01
2003,"SP","MAR",96,2003-03-01
2004,"SP","MAR",122,2004-03-01
2005,"SP","MAR",131,2005-03-01
2006,"SP","MAR",187,2006-03-01
2007,"SP","MAR",267,2007-03-01
2008,"SP","MAR",110,2008-03-01
2009,"SP","MAR",108,2009-03-01
2010,"SP","MAR",153,2010-03-01
2011,"SP","MAR",47,2011-03-01
2012,"SP","MAR",139,2012-03-01
2013,"SP","MAR",61,2013-03-01
2014,"SP","MAR",58,2014-03-01
2015,"SP","MAR",45,2015-03-01
2016,"SP","MAR",65,2016-03-01
2017,"SP","MAR",78,2017-03-01
2018,"SP","MAR",126,2018-03-01
2019,"SP","MAR",85,2019-03-01
2020,"SP","MAR",127,2020-03-01
1998,"SE","MAR",0,1998-03-01
1999,"SE","MAR",18,1999-03-01
2000,"SE","MAR",6,2000-03-01
2001,"SE","MAR",1,2001-03-01
2002,"SE","MAR",7,2002-03-01
2003,"SE","MAR",76,2003-03-01
2004,"SE","MAR",62,2004-03-01
2005,"SE","MAR",44,2005-03-01
2006,"SE","MAR",68,2006-03-01
2007,"SE","MAR",4,2007-03-01
2008,"SE","MAR",51,2008-03-01
2009,"SE","MAR",42,2009-03-01
2010,"SE","MAR",46,2010-03-01
2011,"SE","MAR",65,2011-03-01
2012,"SE","MAR",87,2012-03-01
2013,"SE","MAR",59,2013-03-01
2014,"SE","MAR",26,2014-03-01
2015,"SE","MAR",45,2015-03-01
2016,"SE","MAR",25,2016-03-01
2017,"SE","MAR",17,2017-03-01
2018,"SE","MAR",22,2018-03-01
2019,"SE","MAR",12,2019-03-01
2020,"SE","MAR",5,2020-03-01
1998,"TO","MAR",0,1998-03-01
1999,"TO","MAR",1,1999-03-01
2000,"TO","MAR",4,2000-03-01
2001,"TO","MAR",0,2001-03-01
2002,"TO","MAR",33,2002-03-01
2003,"TO","MAR",21,2003-03-01
2004,"TO","MAR",32,2004-03-01
2005,"TO","MAR",22,2005-03-01
2006,"TO","MAR",19,2006-03-01
2007,"TO","MAR",148,2007-03-01
2008,"TO","MAR",4,2008-03-01
2009,"TO","MAR",36,2009-03-01
2010,"TO","MAR",125,2010-03-01
2011,"TO","MAR",36,2011-03-01
2012,"TO","MAR",83,2012-03-01
2013,"TO","MAR",63,2013-03-01
2014,"TO","MAR",41,2014-03-01
2015,"TO","MAR",66,2015-03-01
2016,"TO","MAR",132,2016-03-01
2017,"TO","MAR",79,2017-03-01
2018,"TO","MAR",64,2018-03-01
2019,"TO","MAR",82,2019-03-01
2020,"TO","MAR",111,2020-03-01
1998,"AC","APR",0,1998-04-01
1999,"AC","APR",0,1999-04-01
2000,"AC","APR",1,2000-04-01
2001,"AC","APR",0,2001-04-01
2002,"AC","APR",0,2002-04-01
2003,"AC","APR",5,2003-04-01
2004,"AC","APR",9,2004-04-01
2005,"AC","APR",2,2005-04-01
2006,"AC","APR",2,2006-04-01
2007,"AC","APR",8,2007-04-01
2008,"AC","APR",1,2008-04-01
2009,"AC","APR",2,2009-04-01
2010,"AC","APR",10,2010-04-01
2011,"AC","APR",4,2011-04-01
2012,"AC","APR",3,2012-04-01
2013,"AC","APR",46,2013-04-01
2014,"AC","APR",7,2014-04-01
2015,"AC","APR",3,2015-04-01
2016,"AC","APR",1,2016-04-01
2017,"AC","APR",1,2017-04-01
2018,"AC","APR",5,2018-04-01
2019,"AC","APR",6,2019-04-01
2020,"AC","APR",4,2020-04-01
1998,"AL","APR",0,1998-04-01
1999,"AL","APR",4,1999-04-01
2000,"AL","APR",20,2000-04-01
2001,"AL","APR",0,2001-04-01
2002,"AL","APR",6,2002-04-01
2003,"AL","APR",22,2003-04-01
2004,"AL","APR",10,2004-04-01
2005,"AL","APR",3,2005-04-01
2006,"AL","APR",7,2006-04-01
2007,"AL","APR",16,2007-04-01
2008,"AL","APR",26,2008-04-01
2009,"AL","APR",5,2009-04-01
2010,"AL","APR",5,2010-04-01
2011,"AL","APR",19,2011-04-01
2012,"AL","APR",18,2012-04-01
2013,"AL","APR",20,2013-04-01
2014,"AL","APR",15,2014-04-01
2015,"AL","APR",46,2015-04-01
2016,"AL","APR",14,2016-04-01
2017,"AL","APR",6,2017-04-01
2018,"AL","APR",2,2018-04-01
2019,"AL","APR",5,2019-04-01
2020,"AL","APR",5,2020-04-01
1998,"AP","APR",0,1998-04-01
1999,"AP","APR",0,1999-04-01
2000,"AP","APR",0,2000-04-01
2001,"AP","APR",0,2001-04-01
2002,"AP","APR",0,2002-04-01
2003,"AP","APR",3,2003-04-01
2004,"AP","APR",1,2004-04-01
2005,"AP","APR",0,2005-04-01
2006,"AP","APR",4,2006-04-01
2007,"AP","APR",0,2007-04-01
2008,"AP","APR",2,2008-04-01
2009,"AP","APR",2,2009-04-01
2010,"AP","APR",0,2010-04-01
2011,"AP","APR",0,2011-04-01
2012,"AP","APR",2,2012-04-01
2013,"AP","APR",2,2013-04-01
2014,"AP","APR",1,2014-04-01
2015,"AP","APR",0,2015-04-01
2016,"AP","APR",0,2016-04-01
2017,"AP","APR",3,2017-04-01
2018,"AP","APR",1,2018-04-01
2019,"AP","APR",0,2019-04-01
2020,"AP","APR",0,2020-04-01
1998,"AM","APR",0,1998-04-01
1999,"AM","APR",2,1999-04-01
2000,"AM","APR",18,2000-04-01
2001,"AM","APR",1,2001-04-01
2002,"AM","APR",2,2002-04-01
2003,"AM","APR",42,2003-04-01
2004,"AM","APR",26,2004-04-01
2005,"AM","APR",8,2005-04-01
2006,"AM","APR",28,2006-04-01
2007,"AM","APR",18,2007-04-01
2008,"AM","APR",35,2008-04-01
2009,"AM","APR",11,2009-04-01
2010,"AM","APR",9,2010-04-01
2011,"AM","APR",7,2011-04-01
2012,"AM","APR",8,2012-04-01
2013,"AM","APR",26,2013-04-01
2014,"AM","APR",20,2014-04-01
2015,"AM","APR",20,2015-04-01
2016,"AM","APR",13,2016-04-01
2017,"AM","APR",15,2017-04-01
2018,"AM","APR",14,2018-04-01
2019,"AM","APR",10,2019-04-01
2020,"AM","APR",12,2020-04-01
1998,"BA","APR",0,1998-04-01
1999,"BA","APR",55,1999-04-01
2000,"BA","APR",23,2000-04-01
2001,"BA","APR",26,2001-04-01
2002,"BA","APR",108,2002-04-01
2003,"BA","APR",512,2003-04-01
2004,"BA","APR",200,2004-04-01
2005,"BA","APR",180,2005-04-01
2006,"BA","APR",117,2006-04-01
2007,"BA","APR",240,2007-04-01
2008,"BA","APR",229,2008-04-01
2009,"BA","APR",56,2009-04-01
2010,"BA","APR",136,2010-04-01
2011,"BA","APR",204,2011-04-01
2012,"BA","APR",428,2012-04-01
2013,"BA","APR",125,2013-04-01
2014,"BA","APR",157,2014-04-01
2015,"BA","APR",122,2015-04-01
2016,"BA","APR",193,2016-04-01
2017,"BA","APR",91,2017-04-01
2018,"BA","APR",71,2018-04-01
2019,"BA","APR",141,2019-04-01
2020,"BA","APR",98,2020-04-01
1998,"CE","APR",0,1998-04-01
1999,"CE","APR",6,1999-04-01
2000,"CE","APR",16,2000-04-01
2001,"CE","APR",2,2001-04-01
2002,"CE","APR",6,2002-04-01
2003,"CE","APR",4,2003-04-01
2004,"CE","APR",1,2004-04-01
2005,"CE","APR",7,2005-04-01
2006,"CE","APR",4,2006-04-01
2007,"CE","APR",5,2007-04-01
2008,"CE","APR",0,2008-04-01
2009,"CE","APR",0,2009-04-01
2010,"CE","APR",11,2010-04-01
2011,"CE","APR",1,2011-04-01
2012,"CE","APR",2,2012-04-01
2013,"CE","APR",7,2013-04-01
2014,"CE","APR",3,2014-04-01
2015,"CE","APR",0,2015-04-01
2016,"CE","APR",11,2016-04-01
2017,"CE","APR",3,2017-04-01
2018,"CE","APR",1,2018-04-01
2019,"CE","APR",1,2019-04-01
2020,"CE","APR",0,2020-04-01
1998,"DF","APR",0,1998-04-01
1999,"DF","APR",0,1999-04-01
2000,"DF","APR",0,2000-04-01
2001,"DF","APR",0,2001-04-01
2002,"DF","APR",1,2002-04-01
2003,"DF","APR",0,2003-04-01
2004,"DF","APR",2,2004-04-01
2005,"DF","APR",0,2005-04-01
2006,"DF","APR",1,2006-04-01
2007,"DF","APR",3,2007-04-01
2008,"DF","APR",1,2008-04-01
2009,"DF","APR",0,2009-04-01
2010,"DF","APR",8,2010-04-01
2011,"DF","APR",1,2011-04-01
2012,"DF","APR",4,2012-04-01
2013,"DF","APR",0,2013-04-01
2014,"DF","APR",2,2014-04-01
2015,"DF","APR",0,2015-04-01
2016,"DF","APR",4,2016-04-01
2017,"DF","APR",1,2017-04-01
2018,"DF","APR",0,2018-04-01
2019,"DF","APR",0,2019-04-01
2020,"DF","APR",5,2020-04-01
1998,"ES","APR",0,1998-04-01
1999,"ES","APR",2,1999-04-01
2000,"ES","APR",3,2000-04-01
2001,"ES","APR",2,2001-04-01
2002,"ES","APR",2,2002-04-01
2003,"ES","APR",31,2003-04-01
2004,"ES","APR",10,2004-04-01
2005,"ES","APR",9,2005-04-01
2006,"ES","APR",6,2006-04-01
2007,"ES","APR",16,2007-04-01
2008,"ES","APR",6,2008-04-01
2009,"ES","APR",6,2009-04-01
2010,"ES","APR",13,2010-04-01
2011,"ES","APR",8,2011-04-01
2012,"ES","APR",76,2012-04-01
2013,"ES","APR",19,2013-04-01
2014,"ES","APR",8,2014-04-01
2015,"ES","APR",25,2015-04-01
2016,"ES","APR",49,2016-04-01
2017,"ES","APR",7,2017-04-01
2018,"ES","APR",7,2018-04-01
2019,"ES","APR",21,2019-04-01
2020,"ES","APR",8,2020-04-01
1998,"GO","APR",0,1998-04-01
1999,"GO","APR",25,1999-04-01
2000,"GO","APR",16,2000-04-01
2001,"GO","APR",49,2001-04-01
2002,"GO","APR",78,2002-04-01
2003,"GO","APR",127,2003-04-01
2004,"GO","APR",84,2004-04-01
2005,"GO","APR",150,2005-04-01
2006,"GO","APR",61,2006-04-01
2007,"GO","APR",83,2007-04-01
2008,"GO","APR",64,2008-04-01
2009,"GO","APR",37,2009-04-01
2010,"GO","APR",144,2010-04-01
2011,"GO","APR",111,2011-04-01
2012,"GO","APR",116,2012-04-01
2013,"GO","APR",61,2013-04-01
2014,"GO","APR",117,2014-04-01
2015,"GO","APR",58,2015-04-01
2016,"GO","APR",152,2016-04-01
2017,"GO","APR",58,2017-04-01
2018,"GO","APR",74,2018-04-01
2019,"GO","APR",83,2019-04-01
2020,"GO","APR",156,2020-04-01
1998,"MA","APR",0,1998-04-01
1999,"MA","APR",4,1999-04-01
2000,"MA","APR",6,2000-04-01
2001,"MA","APR",2,2001-04-01
2002,"MA","APR",28,2002-04-01
2003,"MA","APR",112,2003-04-01
2004,"MA","APR",98,2004-04-01
2005,"MA","APR",99,2005-04-01
2006,"MA","APR",20,2006-04-01
2007,"MA","APR",76,2007-04-01
2008,"MA","APR",40,2008-04-01
2009,"MA","APR",27,2009-04-01
2010,"MA","APR",143,2010-04-01
2011,"MA","APR",46,2011-04-01
2012,"MA","APR",114,2012-04-01
2013,"MA","APR",83,2013-04-01
2014,"MA","APR",66,2014-04-01
2015,"MA","APR",103,2015-04-01
2016,"MA","APR",103,2016-04-01
2017,"MA","APR",90,2017-04-01
2018,"MA","APR",50,2018-04-01
2019,"MA","APR",63,2019-04-01
2020,"MA","APR",93,2020-04-01
1998,"MT","APR",0,1998-04-01
1999,"MT","APR",76,1999-04-01
2000,"MT","APR",59,2000-04-01
2001,"MT","APR",309,2001-04-01
2002,"MT","APR",641,2002-04-01
2003,"MT","APR",930,2003-04-01
2004,"MT","APR",946,2004-04-01
2005,"MT","APR",1010,2005-04-01
2006,"MT","APR",428,2006-04-01
2007,"MT","APR",809,2007-04-01
2008,"MT","APR",358,2008-04-01
2009,"MT","APR",255,2009-04-01
2010,"MT","APR",893,2010-04-01
2011,"MT","APR",467,2011-04-01
2012,"MT","APR",560,2012-04-01
2013,"MT","APR",411,2013-04-01
2014,"MT","APR",658,2014-04-01
2015,"MT","APR",638,2015-04-01
2016,"MT","APR",1351,2016-04-01
2017,"MT","APR",708,2017-04-01
2018,"MT","APR",426,2018-04-01
2019,"MT","APR",708,2019-04-01
2020,"MT","APR",992,2020-04-01
1998,"MS","APR",0,1998-04-01
1999,"MS","APR",97,1999-04-01
2000,"MS","APR",90,2000-04-01
2001,"MS","APR",108,2001-04-01
2002,"MS","APR",230,2002-04-01
2003,"MS","APR",177,2003-04-01
2004,"MS","APR",175,2004-04-01
2005,"MS","APR",251,2005-04-01
2006,"MS","APR",106,2006-04-01
2007,"MS","APR",169,2007-04-01
2008,"MS","APR",116,2008-04-01
2009,"MS","APR",639,2009-04-01
2010,"MS","APR",162,2010-04-01
2011,"MS","APR",31,2011-04-01
2012,"MS","APR",105,2012-04-01
2013,"MS","APR",93,2013-04-01
2014,"MS","APR",113,2014-04-01
2015,"MS","APR",54,2015-04-01
2016,"MS","APR",141,2016-04-01
2017,"MS","APR",69,2017-04-01
2018,"MS","APR",94,2018-04-01
2019,"MS","APR",70,2019-04-01
2020,"MS","APR",813,2020-04-01
1998,"MG","APR",0,1998-04-01
1999,"MG","APR",27,1999-04-01
2000,"MG","APR",49,2000-04-01
2001,"MG","APR",60,2001-04-01
2002,"MG","APR",99,2002-04-01
2003,"MG","APR",265,2003-04-01
2004,"MG","APR",161,2004-04-01
2005,"MG","APR",227,2005-04-01
2006,"MG","APR",153,2006-04-01
2007,"MG","APR",188,2007-04-01
2008,"MG","APR",172,2008-04-01
2009,"MG","APR",61,2009-04-01
2010,"MG","APR",144,2010-04-01
2011,"MG","APR",97,2011-04-01
2012,"MG","APR",201,2012-04-01
2013,"MG","APR",80,2013-04-01
2014,"MG","APR",145,2014-04-01
2015,"MG","APR",85,2015-04-01
2016,"MG","APR",166,2016-04-01
2017,"MG","APR",67,2017-04-01
2018,"MG","APR",56,2018-04-01
2019,"MG","APR",85,2019-04-01
2020,"MG","APR",83,2020-04-01
1998,"PA","APR",0,1998-04-01
1999,"PA","APR",6,1999-04-01
2000,"PA","APR",40,2000-04-01
2001,"PA","APR",0,2001-04-01
2002,"PA","APR",11,2002-04-01
2003,"PA","APR",14,2003-04-01
2004,"PA","APR",61,2004-04-01
2005,"PA","APR",43,2005-04-01
2006,"PA","APR",11,2006-04-01
2007,"PA","APR",17,2007-04-01
2008,"PA","APR",12,2008-04-01
2009,"PA","APR",15,2009-04-01
2010,"PA","APR",30,2010-04-01
2011,"PA","APR",10,2011-04-01
2012,"PA","APR",24,2012-04-01
2013,"PA","APR",29,2013-04-01
2014,"PA","APR",23,2014-04-01
2015,"PA","APR",22,2015-04-01
2016,"PA","APR",51,2016-04-01
2017,"PA","APR",42,2017-04-01
2018,"PA","APR",13,2018-04-01
2019,"PA","APR",38,2019-04-01
2020,"PA","APR",38,2020-04-01
1998,"PB","APR",0,1998-04-01
1999,"PB","APR",3,1999-04-01
2000,"PB","APR",1,2000-04-01
2001,"PB","APR",0,2001-04-01
2002,"PB","APR",1,2002-04-01
2003,"PB","APR",2,2003-04-01
2004,"PB","APR",3,2004-04-01
2005,"PB","APR",4,2005-04-01
2006,"PB","APR",1,2006-04-01
2007,"PB","APR",1,2007-04-01
2008,"PB","APR",2,2008-04-01
2009,"PB","APR",5,2009-04-01
2010,"PB","APR",2,2010-04-01
2011,"PB","APR",3,2011-04-01
2012,"PB","APR",13,2012-04-01
2013,"PB","APR",7,2013-04-01
2014,"PB","APR",7,2014-04-01
2015,"PB","APR",11,2015-04-01
2016,"PB","APR",1,2016-04-01
2017,"PB","APR",1,2017-04-01
2018,"PB","APR",4,2018-04-01
2019,"PB","APR",0,2019-04-01
